iter	Passed	Remaining
0	0	35
1	0	30
2	0	29
3	1	27
4	1	27
5	1	27
6	2	26
7	2	27
8	2	27
9	3	27
10	3	26
11	3	26
12	3	26
13	4	25
14	4	25
15	4	24
16	5	24
17	5	24
18	5	24
19	6	24
20	6	24
21	6	24
22	7	24
23	7	24
24	8	24
25	8	24
26	8	24
27	9	24
28	9	23
29	9	23
30	10	22
31	10	23
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	21
38	13	20
39	13	20
40	14	20
41	14	19
42	14	19
43	15	19
44	15	18
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	17
51	18	16
52	18	16
53	18	15
54	18	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	22	12
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	9
74	25	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	29	4
87	30	4
88	30	3
89	30	3
90	31	3
91	31	2
92	31	2
93	32	2
94	32	1
95	32	1
96	33	1
97	33	0
98	33	0
99	34	0
