iter	Passed	Remaining
0	56	56167
1	56	28277
2	57	18977
3	57	14312
4	57	11527
5	58	9669
6	58	8356
7	59	7352
8	59	6579
9	60	5949
10	60	5446
11	60	5019
12	61	4663
13	61	4355
14	62	4089
15	62	3856
16	63	3647
17	63	3462
18	63	3297
19	64	3145
20	64	3013
21	65	2892
22	65	2778
23	65	2677
24	66	2583
25	66	2496
26	67	2415
27	67	2342
28	67	2271
29	68	2207
30	68	2146
31	69	2089
32	69	2035
33	69	1986
34	70	1937
35	70	1893
36	71	1850
37	71	1809
38	71	1770
39	72	1734
40	72	1700
41	73	1668
42	73	1635
43	73	1605
44	74	1575
45	74	1547
46	74	1519
47	75	1493
48	75	1467
49	76	1444
50	76	1422
51	76	1400
52	77	1379
53	77	1360
54	78	1340
55	78	1322
56	78	1304
57	79	1286
58	79	1269
59	79	1252
60	80	1237
61	80	1221
62	81	1206
63	81	1191
64	81	1176
65	82	1163
66	82	1150
67	82	1137
68	83	1125
69	83	1113
70	84	1101
71	84	1090
72	85	1080
73	85	1069
74	85	1059
75	86	1048
76	86	1038
77	87	1029
78	87	1019
79	87	1010
80	88	1001
81	88	992
82	88	981
83	89	973
84	89	964
85	90	957
86	90	949
87	90	942
88	91	934
89	91	926
90	92	919
91	92	912
92	92	905
93	93	899
94	93	891
95	94	885
96	94	878
97	94	872
98	95	866
99	95	860
100	95	854
101	96	848
102	96	842
103	97	836
104	97	831
105	97	826
106	98	820
107	98	815
108	99	809
109	99	804
110	99	799
111	100	794
112	100	788
113	100	783
114	101	778
115	101	774
116	101	768
117	102	764
118	102	759
119	102	755
120	103	751
121	103	746
122	104	742
123	104	738
124	104	734
125	105	730
126	105	726
127	106	722
128	106	719
129	106	715
130	107	711
131	107	708
132	108	704
133	108	701
134	108	697
135	109	694
136	109	691
137	110	687
138	110	684
139	110	681
140	111	678
141	111	673
142	111	670
143	112	667
144	112	664
145	113	661
146	113	658
147	113	655
148	114	652
149	114	649
150	114	646
151	115	643
152	115	640
153	116	638
154	116	635
155	116	632
156	117	629
157	117	626
158	118	624
159	118	621
160	118	618
161	119	615
162	119	612
163	119	610
164	120	607
165	120	605
166	120	602
167	121	600
168	121	598
169	122	596
170	122	593
171	122	591
172	123	589
173	123	587
174	124	586
175	124	584
176	125	582
177	125	579
178	125	577
179	126	575
180	126	573
181	127	571
182	127	568
183	127	566
184	128	565
185	128	563
186	129	561
187	129	559
188	129	557
189	130	556
190	130	554
191	131	552
192	131	550
193	132	548
194	132	547
195	132	545
196	133	543
197	133	542
198	134	540
199	134	538
200	134	536
201	135	534
202	135	532
203	136	531
204	136	529
205	136	527
206	137	526
207	137	525
208	138	523
209	138	521
210	139	520
211	139	518
212	139	516
213	140	515
214	140	513
215	141	512
216	141	510
217	141	509
218	142	507
219	142	505
220	143	504
221	143	502
222	143	501
223	144	499
224	144	498
225	145	497
226	145	495
227	145	493
228	146	492
229	146	490
230	147	489
231	147	487
232	147	486
233	148	485
234	148	483
235	148	482
236	149	480
237	149	479
238	150	477
239	150	476
240	150	475
241	151	473
242	151	472
243	152	471
244	152	469
245	152	468
246	153	467
247	153	465
248	154	464
249	154	463
250	154	461
251	155	460
252	155	459
253	155	458
254	156	456
255	156	455
256	157	454
257	157	453
258	157	451
259	158	450
260	158	449
261	159	448
262	159	447
263	160	446
264	160	445
265	160	443
266	161	442
267	161	441
268	162	440
269	162	439
270	162	438
271	163	437
272	163	435
273	164	434
274	164	433
275	164	432
276	165	431
277	165	430
278	166	429
279	166	428
280	167	427
281	167	426
282	167	425
283	168	424
284	168	423
285	169	422
286	169	421
287	169	420
288	170	419
289	170	418
290	171	417
291	171	416
292	172	415
293	172	414
294	172	413
295	173	412
296	173	411
297	174	410
298	174	409
299	174	408
300	175	407
301	175	406
302	176	405
303	176	403
304	176	402
305	177	401
306	177	400
307	177	399
308	178	398
309	178	397
310	178	396
311	179	395
312	179	394
313	179	393
314	180	392
315	180	391
316	180	389
317	181	388
318	181	387
319	182	386
320	182	385
321	182	384
322	183	383
323	183	382
324	183	381
325	184	380
326	184	379
327	184	378
328	185	377
329	185	376
330	185	375
331	186	374
332	186	373
333	186	372
334	187	371
335	187	370
336	187	369
337	188	368
338	188	367
339	188	366
340	189	365
341	189	364
342	190	363
343	190	362
344	190	361
345	190	360
346	191	360
347	191	359
348	192	358
349	192	357
350	192	356
351	192	355
352	193	354
353	193	353
354	193	352
355	194	351
356	194	350
357	194	349
358	195	348
359	195	347
360	195	346
361	196	345
362	196	344
363	196	344
364	197	343
365	197	342
366	197	341
367	198	340
368	198	339
369	198	338
370	199	337
371	199	336
372	199	336
373	200	335
374	200	334
375	200	333
376	201	332
377	201	331
378	201	330
379	202	330
380	202	329
381	202	328
382	203	328
383	204	327
384	204	326
385	204	326
386	205	325
387	205	324
388	206	323
389	206	322
390	206	321
391	207	321
392	207	320
393	207	319
394	207	318
395	208	317
396	208	316
397	208	316
398	209	315
399	209	314
400	210	313
401	210	312
402	210	312
403	211	311
404	211	310
405	211	309
406	212	308
407	212	308
408	212	307
409	213	306
410	213	305
411	213	305
412	214	304
413	214	303
414	214	302
415	215	302
416	215	301
417	215	300
418	216	299
419	216	298
420	216	298
421	217	297
422	217	296
423	217	295
424	218	295
425	218	294
426	218	293
427	219	293
428	219	292
429	220	291
430	220	291
431	220	290
432	221	289
433	221	288
434	221	287
435	222	287
436	222	286
437	222	285
438	223	285
439	223	284
440	223	283
441	224	282
442	224	282
443	224	281
444	225	280
445	225	280
446	225	279
447	226	278
448	226	278
449	226	277
450	227	276
451	227	275
452	227	275
453	228	274
454	228	274
455	229	273
456	229	272
457	229	271
458	230	271
459	230	270
460	230	269
461	231	269
462	231	268
463	232	268
464	233	268
465	233	267
466	233	266
467	234	266
